station_complex_id,station_name,latitude,longitude,borough,lines
1,Times Sq-42 St,40.7557,-73.9872,Manhattan,"1,2,3,7,N,Q,R,W,S"
2,Grand Central-42 St,40.7527,-73.9772,Manhattan,"4,5,6,7,S"
3,34 St-Penn Station,40.7506,-73.9935,Manhattan,"1,2,3,A,C,E"
4,34 St-Herald Sq,40.7497,-73.9878,Manhattan,"B,D,F,M,N,Q,R,W"
5,14 St-Union Sq,40.7359,-73.9906,Manhattan,"4,5,6,L,N,Q,R,W"
6,Fulton St,40.7091,-74.0063,Manhattan,"2,3,4,5,A,C,J,Z"
7,Chambers St-WTC,40.7127,-74.0099,Manhattan,"1,2,3,A,C,E"
8,59 St-Columbus Circle,40.7681,-73.9819,Manhattan,"1,A,B,C,D"
9,125 St,40.8041,-73.9375,Manhattan,"4,5,6"
10,96 St,40.7912,-73.9725,Manhattan,"1,2,3"
11,72 St,40.7785,-73.9822,Manhattan,"1,2,3"
12,50 St,40.7622,-73.9858,Manhattan,"1,C,E"
13,23 St,40.7420,-73.9929,Manhattan,"1,F,M"
14,Canal St,40.7188,-74.0003,Manhattan,"1,A,C,E,N,Q,R,W,6"
15,Brooklyn Bridge-City Hall,40.7132,-74.0038,Manhattan,"4,5,6,J,Z"
16,Wall St,40.7069,-74.0086,Manhattan,"2,3,4,5"
17,86 St,40.7838,-73.9685,Manhattan,"4,5,6"
18,Lexington Av-53 St,40.7574,-73.9693,Manhattan,"E,M,6"
19,47-50 Sts-Rockefeller Ctr,40.7588,-73.9814,Manhattan,"B,D,F,M"
20,W 4 St-Washington Sq,40.7322,-74.0003,Manhattan,"A,B,C,D,E,F,M"
21,59 St,40.7625,-73.9678,Manhattan,"4,5,6,N,R,W"
22,Spring St,40.7225,-73.9972,Manhattan,"C,E,6"
23,Bleecker St-Broadway Lafayette,40.7260,-73.9946,Manhattan,"6,B,D,F,M"
24,28 St,40.7454,-73.9844,Manhattan,"6,R,W"
25,8 Av,40.7349,-74.0024,Manhattan,"L"
26,Astor Pl,40.7300,-73.9909,Manhattan,"6"
27,103 St,40.7960,-73.9615,Manhattan,"6"
28,Cathedral Pkwy-110 St,40.8008,-73.9582,Manhattan,"1"
29,145 St,40.8210,-73.9362,Manhattan,"3"
30,168 St,40.8407,-73.9395,Manhattan,"1,A,C"
31,Atlantic Av-Barclays Ctr,40.6842,-73.9776,Brooklyn,"2,3,4,5,B,D,N,Q,R"
32,Jay St-MetroTech,40.6922,-73.9872,Brooklyn,"A,C,F,R"
33,Prospect Park,40.6616,-73.9622,Brooklyn,"B,Q,S"
34,Bedford Av,40.7177,-73.9568,Brooklyn,"L"
35,Dekalb Av,40.6907,-73.9818,Brooklyn,"B,Q,R"
36,Borough Hall,40.6926,-73.9901,Brooklyn,"2,3,4,5,R"
37,Church Av,40.6507,-73.9797,Brooklyn,"2,5,B,Q"
38,Coney Island-Stillwell Av,40.5773,-73.9812,Brooklyn,"D,F,N,Q"
39,Broadway Junction,40.6786,-73.9053,Brooklyn,"A,C,J,L,Z"
40,Flatbush Av-Brooklyn College,40.6327,-73.9476,Brooklyn,"2,5"
41,Jackson Hts-Roosevelt Av,40.7467,-73.8912,Queens,"7,E,F,M,R"
42,Flushing-Main St,40.7594,-73.8300,Queens,"7"
43,Jamaica Center,40.7024,-73.8009,Queens,"E,J,Z"
44,Woodside-61 St,40.7454,-73.9030,Queens,"7"
45,Court Sq-23 St,40.7470,-73.9456,Queens,"7,E,G,M"
46,Astoria-Ditmars Blvd,40.7752,-73.9120,Queens,"N,W"
47,161 St-Yankee Stadium,40.8277,-73.9255,Bronx,"4,B,D"
48,Fordham Rd,40.8613,-73.8879,Bronx,"4"
49,Pelham Bay Park,40.8524,-73.8287,Bronx,"6"
50,3 Av-149 St,40.8163,-73.9178,Bronx,"2,5"
51,St George,40.6433,-74.0764,Staten Island,"SIR"
