location_id,borough,zone,service_zone,centroid_lat,centroid_lon
1,EWR,Newark Airport,EWR,40.6895,-74.1745
2,Queens,Jamaica Bay,Boro Zone,40.6051,-73.8215
3,Bronx,Allerton/Pelham Gardens,Boro Zone,40.8628,-73.8432
4,Manhattan,Alphabet City,Yellow Zone,40.7258,-73.9817
5,Staten Island,Arden Heights,Boro Zone,40.5563,-74.1735
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,40.6013,-74.0588
7,Queens,Astoria,Boro Zone,40.7720,-73.9233
8,Queens,Astoria Park,Boro Zone,40.7785,-73.9220
9,Queens,Auburndale,Boro Zone,40.7503,-73.7856
10,Queens,Baisley Park,Boro Zone,40.6733,-73.7862
11,Brooklyn,Bath Beach,Boro Zone,40.6016,-73.9938
12,Manhattan,Battery Park,Yellow Zone,40.7033,-74.0170
13,Manhattan,Battery Park City,Yellow Zone,40.7117,-74.0154
14,Brooklyn,Bay Ridge,Boro Zone,40.6345,-74.0283
15,Brooklyn,Bay Terrace/Fort Totten,Boro Zone,40.7935,-73.7762
16,Queens,Bayside,Boro Zone,40.7628,-73.7713
17,Brooklyn,Bedford,Boro Zone,40.6872,-73.9418
18,Bronx,Bedford Park,Boro Zone,40.8700,-73.8862
19,Queens,Bellerose,Boro Zone,40.7228,-73.7151
20,Bronx,Belmont,Boro Zone,40.8560,-73.8887
21,Brooklyn,Bensonhurst East,Boro Zone,40.6050,-73.9850
22,Brooklyn,Bensonhurst West,Boro Zone,40.6010,-73.9998
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,40.6078,-74.0963
24,Manhattan,Bloomingdale,Yellow Zone,40.7976,-73.9685
25,Brooklyn,Boerum Hill,Boro Zone,40.6848,-73.9837
26,Bronx,Bonner Square,Boro Zone,40.8132,-73.9068
27,Brooklyn,Borough Park,Boro Zone,40.6338,-73.9920
28,Brooklyn,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,40.5560,-73.8880
29,Queens,Briarwood/Jamaica Hills,Boro Zone,40.7097,-73.8130
30,Brooklyn,Brighton Beach,Boro Zone,40.5776,-73.9593
31,Queens,Broad Channel,Boro Zone,40.6033,-73.8200
32,Bronx,Bronx Park,Boro Zone,40.8590,-73.8720
33,Bronx,Bronxdale,Boro Zone,40.8538,-73.8597
34,Brooklyn,Brooklyn Heights,Boro Zone,40.6960,-73.9936
35,Brooklyn,Brooklyn Navy Yard,Boro Zone,40.7020,-73.9717
36,Brooklyn,Brownsville,Boro Zone,40.6622,-73.9122
37,Brooklyn,Bushwick North,Boro Zone,40.6973,-73.9162
38,Brooklyn,Bushwick South,Boro Zone,40.6873,-73.9088
39,Brooklyn,Canarsie,Boro Zone,40.6418,-73.8963
40,Brooklyn,Carroll Gardens,Boro Zone,40.6798,-73.9992
