USAF,WBAN,STATION_NAME,ST,CALL,LATITUDE,LONGITUDE,ELEV_M,BEGIN,END
720553,99999,PORT AUTH DOWNTN MANHATTAN WA,NY,KJRB,40.7,-74.0,0.0,20160720,20250824
720581,00178,LINDEN AIRPORT,NJ,KLDJ,40.61,-74.25,0.0,20170101,20250825
724094,54743,ESSEX COUNTY AIRPORT,NJ,KCDW,40.87,-74.28,0.0,20060101,20250827
725020,14734,NEWARK LIBERTY INTERNATIONAL,NJ,KEWR,40.68,-74.16,2.0,19730101,20250825
725025,94741,TETERBORO AIRPORT,NJ,KTEB,40.85,-74.05,0.0,19730101,20250827
725030,14732,LA GUARDIA AIRPORT,NY,KLGA,40.77,-73.88,3.0,19730101,20250827
725053,94728,CENTRAL PARK,NY,KNYC,40.77,-73.96,42.7,20050101,20250827
744860,94789,JOHN F KENNEDY INTERNATIONAL,NY,KJFK,40.63,-73.76,0.0,19730101,20250827
997271,99999,THE BATTERY,NY,,40.7,-74.01,0.0,20080117,20250824
997272,99999,BERGEN POINT,NJ,,40.63,-74.14,0.0,20080101,20210831
997280,99999,KINGS POINT,NY,,40.81,-73.76,0.0,20080101,20250824
997289,99999,SANDY HOOK,NJ,,40.46,-74.0,0.0,20080101,20250824
997743,99999,ROBBINS REEF,NJ,,40.65,-74.06,0.0,20080101,20250824
